dataset,horizon,scenario_with_lag1,model,mae_with_lag1,rmse_with_lag1,mape_with_lag1,r2_with_lag1,n_train_with_lag1,n_test_with_lag1,train_start_with_lag1,train_end_with_lag1,test_start_with_lag1,test_end_with_lag1,features_with_lag1,scenario_without_lag1,mae_without_lag1,rmse_without_lag1,mape_without_lag1,r2_without_lag1,n_train_without_lag1,n_test_without_lag1,train_start_without_lag1,train_end_without_lag1,test_start_without_lag1,test_end_without_lag1,features_without_lag1,mae_change_pct,rmse_change_pct
consumption,1,with_lag1,ridge,39794.636746995006,54959.59317363762,2.635975933993412,0.9604755536112328,14014,3504,2024-01-01 00:00:00+00:00,2025-08-06 22:00:00+00:00,2025-08-06 23:00:00+00:00,2025-12-31 22:00:00+00:00,"total_lag_1,total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h1,total_weekly_direct_h1,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear",without_lag1,68467.24016961029,93930.05226367888,4.506390799236806,0.8845516035776544,14014,3504,2024-01-01 00:00:00+00:00,2025-08-06 22:00:00+00:00,2025-08-06 23:00:00+00:00,2025-12-31 22:00:00+00:00,"total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h1,total_weekly_direct_h1,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear",72.0514264394697,70.90747372696012
consumption,1,with_lag1,lasso,39217.536071130926,54454.23818340885,2.592665828317718,0.9611990686482405,14014,3504,2024-01-01 00:00:00+00:00,2025-08-06 22:00:00+00:00,2025-08-06 23:00:00+00:00,2025-12-31 22:00:00+00:00,"total_lag_1,total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h1,total_weekly_direct_h1,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear",without_lag1,66148.9822720316,91771.11241900409,4.362012660514424,0.8897976719459135,14014,3504,2024-01-01 00:00:00+00:00,2025-08-06 22:00:00+00:00,2025-08-06 23:00:00+00:00,2025-12-31 22:00:00+00:00,"total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h1,total_weekly_direct_h1,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear",68.67194856926677,68.52887025966137
consumption,1,with_lag1,random_forest,35650.53220868505,53134.9389998432,2.3507501398541475,0.9630564054190488,14014,3504,2024-01-01 00:00:00+00:00,2025-08-06 22:00:00+00:00,2025-08-06 23:00:00+00:00,2025-12-31 22:00:00+00:00,"total_lag_1,total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h1,total_weekly_direct_h1,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear",without_lag1,51374.80737569408,76089.96684306509,3.351118658828485,0.924241116311776,14014,3504,2024-01-01 00:00:00+00:00,2025-08-06 22:00:00+00:00,2025-08-06 23:00:00+00:00,2025-12-31 22:00:00+00:00,"total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h1,total_weekly_direct_h1,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear",44.10670526589877,43.201381756154134
consumption,1,with_lag1,gradient_boosting,44916.662454378165,63071.73077396716,2.964149716844326,0.9479466991535712,14014,3504,2024-01-01 00:00:00+00:00,2025-08-06 22:00:00+00:00,2025-08-06 23:00:00+00:00,2025-12-31 22:00:00+00:00,"total_lag_1,total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h1,total_weekly_direct_h1,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear",without_lag1,59387.748998864525,86177.23267889797,3.871572380507375,0.9028229155946238,14014,3504,2024-01-01 00:00:00+00:00,2025-08-06 22:00:00+00:00,2025-08-06 23:00:00+00:00,2025-12-31 22:00:00+00:00,"total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h1,total_weekly_direct_h1,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear",32.21763540241807,36.633689327053645
consumption,6,with_lag1,ridge,62788.97209212308,84792.89407102972,4.176166166304953,0.9059400525035382,14010,3503,2024-01-01 00:00:00+00:00,2025-08-06 18:00:00+00:00,2025-08-06 19:00:00+00:00,2025-12-31 17:00:00+00:00,"total_lag_1,total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h6,total_weekly_direct_h6,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear",without_lag1,68431.49464086878,91843.5148807003,4.524518413230814,0.8896473397649002,14010,3503,2024-01-01 00:00:00+00:00,2025-08-06 18:00:00+00:00,2025-08-06 19:00:00+00:00,2025-12-31 17:00:00+00:00,"total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h6,total_weekly_direct_h6,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear",8.986486576762353,8.31510810771996
consumption,6,with_lag1,lasso,62257.63270042358,84288.13941872143,4.153359194898303,0.9070565584471868,14010,3503,2024-01-01 00:00:00+00:00,2025-08-06 18:00:00+00:00,2025-08-06 19:00:00+00:00,2025-12-31 17:00:00+00:00,"total_lag_1,total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h6,total_weekly_direct_h6,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear",without_lag1,66189.39355518174,91903.66800160977,4.3684257509246,0.8895027409714473,14010,3503,2024-01-01 00:00:00+00:00,2025-08-06 18:00:00+00:00,2025-08-06 19:00:00+00:00,2025-12-31 17:00:00+00:00,"total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h6,total_weekly_direct_h6,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear",6.315307351433241,9.035112929775767
consumption,6,with_lag1,random_forest,51435.78638748935,76913.84347681979,3.348236553358127,0.9226082186039176,14010,3503,2024-01-01 00:00:00+00:00,2025-08-06 18:00:00+00:00,2025-08-06 19:00:00+00:00,2025-12-31 17:00:00+00:00,"total_lag_1,total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h6,total_weekly_direct_h6,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear",without_lag1,53683.54856100855,80559.65377651672,3.4779284148940715,0.9150973985832792,14010,3503,2024-01-01 00:00:00+00:00,2025-08-06 18:00:00+00:00,2025-08-06 19:00:00+00:00,2025-12-31 17:00:00+00:00,"total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h6,total_weekly_direct_h6,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear",4.370035594645683,4.7401223692529415
consumption,6,with_lag1,gradient_boosting,57911.7294427988,84129.38205711315,3.7756066183201167,0.9074063481009657,14010,3503,2024-01-01 00:00:00+00:00,2025-08-06 18:00:00+00:00,2025-08-06 19:00:00+00:00,2025-12-31 17:00:00+00:00,"total_lag_1,total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h6,total_weekly_direct_h6,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear",without_lag1,59392.071901851305,87482.62657905133,3.8530951320347424,0.8998780169649938,14010,3503,2024-01-01 00:00:00+00:00,2025-08-06 18:00:00+00:00,2025-08-06 19:00:00+00:00,2025-12-31 17:00:00+00:00,"total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h6,total_weekly_direct_h6,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear",2.5562048885358957,3.985818557019405
consumption,24,with_lag1,ridge,72916.30596431915,98378.9204083492,4.838182076106541,0.8734123359023791,13996,3499,2024-01-01 00:00:00+00:00,2025-08-06 04:00:00+00:00,2025-08-06 05:00:00+00:00,2025-12-30 23:00:00+00:00,"total_lag_1,total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h24,total_weekly_direct_h24,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear",without_lag1,80939.45852158348,108153.0961857167,5.357208499808246,0.8470092425156045,13996,3499,2024-01-01 00:00:00+00:00,2025-08-06 04:00:00+00:00,2025-08-06 05:00:00+00:00,2025-12-30 23:00:00+00:00,"total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h24,total_weekly_direct_h24,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear",11.003235080491303,9.935233825292112
consumption,24,with_lag1,lasso,70437.37293186811,96909.33377234546,4.637994832588151,0.8771660275857193,13996,3499,2024-01-01 00:00:00+00:00,2025-08-06 04:00:00+00:00,2025-08-06 05:00:00+00:00,2025-12-30 23:00:00+00:00,"total_lag_1,total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h24,total_weekly_direct_h24,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear",without_lag1,75030.4051560358,103085.86831807547,4.96555454028353,0.8610093621092209,13996,3499,2024-01-01 00:00:00+00:00,2025-08-06 04:00:00+00:00,2025-08-06 05:00:00+00:00,2025-12-30 23:00:00+00:00,"total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h24,total_weekly_direct_h24,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear",6.520731868592522,6.3735187368428425
consumption,24,with_lag1,random_forest,57737.4378787654,85133.36385419722,3.747337376618271,0.9052046860989492,13996,3499,2024-01-01 00:00:00+00:00,2025-08-06 04:00:00+00:00,2025-08-06 05:00:00+00:00,2025-12-30 23:00:00+00:00,"total_lag_1,total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h24,total_weekly_direct_h24,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear",without_lag1,65034.74251000925,94214.15157140384,4.237366679194955,0.8839033831479193,13996,3499,2024-01-01 00:00:00+00:00,2025-08-06 04:00:00+00:00,2025-08-06 05:00:00+00:00,2025-12-30 23:00:00+00:00,"total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h24,total_weekly_direct_h24,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear",12.638774596417711,10.666544003545697
consumption,24,with_lag1,gradient_boosting,64016.92359518781,90747.41418980672,4.1683010781727,0.8922900562994881,13996,3499,2024-01-01 00:00:00+00:00,2025-08-06 04:00:00+00:00,2025-08-06 05:00:00+00:00,2025-12-30 23:00:00+00:00,"total_lag_1,total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h24,total_weekly_direct_h24,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear",without_lag1,69142.55297383989,96935.44844233197,4.492717184703004,0.8770998172273352,13996,3499,2024-01-01 00:00:00+00:00,2025-08-06 04:00:00+00:00,2025-08-06 05:00:00+00:00,2025-12-30 23:00:00+00:00,"total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h24,total_weekly_direct_h24,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear",8.006678688691915,6.818964824256479
consumption,168,with_lag1,ridge,89199.23720835532,119070.32308896592,5.842777525808625,0.8154495099579219,13880,3471,2024-01-01 00:00:00+00:00,2025-08-01 08:00:00+00:00,2025-08-01 09:00:00+00:00,2025-12-24 23:00:00+00:00,"total_lag_1,total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h168,total_weekly_direct_h168,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear",without_lag1,96627.2316625448,129238.20972642043,6.3326370216016965,0.782584748982934,13880,3471,2024-01-01 00:00:00+00:00,2025-08-01 08:00:00+00:00,2025-08-01 09:00:00+00:00,2025-12-24 23:00:00+00:00,"total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h168,total_weekly_direct_h168,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear",8.32741925453786,8.539396193506054
consumption,168,with_lag1,lasso,81764.48869674631,110668.06351567988,5.326102462614891,0.840576345635429,13880,3471,2024-01-01 00:00:00+00:00,2025-08-01 08:00:00+00:00,2025-08-01 09:00:00+00:00,2025-12-24 23:00:00+00:00,"total_lag_1,total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h168,total_weekly_direct_h168,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear",without_lag1,89757.5693027208,120264.850778878,5.878052793777885,0.8117280710886713,13880,3471,2024-01-01 00:00:00+00:00,2025-08-01 08:00:00+00:00,2025-08-01 09:00:00+00:00,2025-12-24 23:00:00+00:00,"total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h168,total_weekly_direct_h168,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear",9.775736060210406,8.671686264609125
consumption,168,with_lag1,random_forest,73280.97692008576,102830.13851954463,4.712654833386458,0.8623586320288862,13880,3471,2024-01-01 00:00:00+00:00,2025-08-01 08:00:00+00:00,2025-08-01 09:00:00+00:00,2025-12-24 23:00:00+00:00,"total_lag_1,total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h168,total_weekly_direct_h168,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear",without_lag1,77064.13265162832,106167.2924172899,4.941306483725342,0.8532798974074038,13880,3471,2024-01-01 00:00:00+00:00,2025-08-01 08:00:00+00:00,2025-08-01 09:00:00+00:00,2025-12-24 23:00:00+00:00,"total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h168,total_weekly_direct_h168,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear",5.162534521978546,3.2453072083638013
consumption,168,with_lag1,gradient_boosting,76140.69826979328,102485.31134744732,4.93681535316246,0.8632802082283323,13880,3471,2024-01-01 00:00:00+00:00,2025-08-01 08:00:00+00:00,2025-08-01 09:00:00+00:00,2025-12-24 23:00:00+00:00,"total_lag_1,total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h168,total_weekly_direct_h168,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear",without_lag1,82009.71293518152,111165.82053814732,5.3053106734883295,0.8391390258041809,13880,3471,2024-01-01 00:00:00+00:00,2025-08-01 08:00:00+00:00,2025-08-01 09:00:00+00:00,2025-12-24 23:00:00+00:00,"total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h168,total_weekly_direct_h168,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear",7.708117733031883,8.470003239070234
